keyword,page,clicks,impressions,ctr,position,indexStatus,country,dateRange,source,lastChecked,sourceFile,dailyValues,topicCluster,isRelevant,isDuplicateFile
какой ии создаст пост карусель,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 1, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
посты карусели ии,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 1, ""2026-06-07"": 0}",ai_carousel,True,False
приложение с ии которое оформит пост карусель,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 1, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
создание каруселей ии готофлов,,,6,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 3, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 3, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
создание постов каруселей ai,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 1, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
создатель карусели для постов бесплатно,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 1, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",carousel_general,True,False
создать карусель для поста в соцсети ии,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 1, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
создать карусель пост онлайн,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 1, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 0}",carousel_general,True,False
создать пост карусель ии,,,2,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 2, ""2026-06-06"": 0, ""2026-06-07"": 0}",ai_carousel,True,False
создать пост карусель онлайн,,,2,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 0, ""2026-06-06"": 0, ""2026-06-07"": 2}",carousel_general,True,False
создать посты карусель аи,,,1,,,,RU,2026-06-01..2026-06-07,yandex_webmaster_manual,2026-06-08,gotoflow.io_66ca0f04c5a5028bd45345ea.csv(2).gz,"{""2026-06-01"": 0, ""2026-06-02"": 0, ""2026-06-03"": 0, ""2026-06-04"": 0, ""2026-06-05"": 1, ""2026-06-06"": 0, ""2026-06-07"": 0}",carousel_general,True,False
