keyword,page,clicks,impressions,ctr,position,country,dateRange,source,lastChecked,sourceFile,topicCluster,isRelevant
ai for instagram free,,0,14,0%,95.93,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai for instagram post,,0,6,0%,92.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai for instagram posts,,0,6,0%,85.33,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai generate content,,0,2,0%,55.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
ai generated instagram posts,,0,2,0%,98.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai generator instagram,,0,4,0%,87.75,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai ig post generator,,0,2,0%,95.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,social_content,True
ai instagram carousel generator,,0,1,0%,95.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram content,,0,1,0%,68.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram content generator,,0,2,0%,92.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram post,,0,1,0%,90.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram post generator,,0,80,0%,96.31,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram post generator free,,0,7,0%,92.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram post maker,,0,2,0%,97.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram posts,,0,1,0%,97.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai instagram posts generator,,0,3,0%,95.33,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ai linkedin carousel generator,,0,6,0%,74.83,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
ai post,,0,1,0%,95.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
ai social media content generator,,0,2,0%,81.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,social_content,True
ai to generate carousel,,0,8,0%,80.75,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
ai-generated instagram posts,,0,1,0%,99.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
aicarousels,,0,2,0%,82.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
auto generate instagram posts,,0,1,0%,79.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
automatically create carousels,,0,3,0%,51.33,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,carousel_general,True
best ai content generator for social media,,0,2,0%,61.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,social_content,True
blog to carousel,,0,1,0%,152.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,carousel_general,True
can t generate with this content,,0,1,0%,67.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
carousel ai,,0,5,0%,79.4,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
carousel creator,,0,1,0%,5.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,carousel_general,True
carousel generator,,0,4,0%,94.75,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,carousel_general,True
carousel generator ai,,1,1,100%,133.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
carousel maker ai,,0,1,0%,126.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
carousels ai,,0,1,0%,74.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_carousel,True
caroussel linkedin,,0,1,0%,10.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
content generator,,0,228,0%,78.63,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
content generator for social media,,0,4,0%,90.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,social_content,True
content maker,,0,7,0%,72.86,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
contentgenerator,,0,1,0%,84.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
create a carousel on linkedin,,0,2,0%,59.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
free ai instagram post generator,,0,1,0%,98.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
generate content,,0,20,0%,71.55,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
generate instagram,,0,1,0%,75.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
generate instagram posts using ai,,0,1,0%,83.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
generator instagram,,0,1,0%,95.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
go to flow,,0,13,0%,41.62,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
gotoflow,,13,42,30.95%,2.07,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
gotto flow,,0,1,0%,2.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
gottoflow,,0,1,0%,2.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
how to create a linkedin carousel,,0,3,0%,91.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
how to create instagram post with ai,,0,1,0%,74.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
how to make a carousel on linkedin,,0,4,0%,71.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
how to make a linkedin carousel,,0,1,0%,72.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
how to make carousel for linkedin,,0,3,0%,77.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
how to make linkedin carousel,,0,1,0%,40.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
how to post a pano on instagram,,0,1,0%,97.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
ia post instagram,,0,3,0%,59.67,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram ai creator,,0,1,0%,96.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram ai generator,,0,7,0%,87.86,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram carousel example,,0,1,0%,11.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram carousel ideas,,0,2,0%,27.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram generator,,0,1,0%,81.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram layout ai,,0,1,0%,63.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram post ai,,0,1,0%,96.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram post generator,,0,53,0%,91.45,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram post generator ai,,0,2,0%,98.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram post maker ai,,0,1,0%,95.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
instagram posts generator,,0,24,0%,97.71,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
linkedin carousel creator,,0,12,0%,77.67,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
linkedin carousel examples,,0,11,0%,85.09,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
linkedin carousel generator,,0,19,0%,78.53,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
linkedin carousel maker,,0,6,0%,50.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
linkedin carousel post maker,,0,3,0%,73.33,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
linkedin hook generator,,0,8,0%,83.62,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
pageflow ai,,0,1,0%,55.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
post ai,,0,1,0%,73.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
postflow ai,,0,1,0%,47.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,ai_content,True
toflow,,0,13,0%,49.85,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
tool to create linkedin carousel,,0,3,0%,88.33,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
usepostify,,0,2,0%,52.5,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
what is a linkedin carousel,,0,2,0%,44.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
генератор контента для сайта,,0,5,0%,85.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
генератор постов в инстаграм,,0,1,0%,23.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,instagram_carousel,True
как сделать карусель в линкедин,,0,1,0%,8.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
какая функция в viral linkedin carousel generator,,0,3,0%,9.67,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,linkedin_carousel,True
مولد منشورات انستغرام مدعوم بالذكاء الاصطناعي,,0,1,0%,84.0,all,2026-03-07..2026-06-08,google_search_console_manual,2026-06-08,gotoflow.io-Performance-on-Search-2026-06-08(2).zip::Запросы.csv,other,False
