path,url,language,currentStatus,sourceOfUrl,sourceEvidence,inSitemap,inRouteInventory,inAppRoutes,inSeoRegistry,inBlogArticles,exactBlogSlugIfAny,exactProductPageIfAny,relatedExistingBlogPages,relatedExistingProductPages,wasExistingBeforeSeoRegistry,wasCreatedBySeoRegistryWork,isManualInferredCandidate,primaryIntent,intentAlreadyOwnedBy,duplicateRisk,allowedAction,blockedReason,approvedByHuman,notes
/blog/ai-instagram-carousel-generator,https://gotoflow.io/blog/ai-instagram-carousel-generator,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route ; src/content/blog/articles/ai-instagram-carousel-generator.md,yes,no,yes,no,yes,ai-instagram-carousel-generator,,,,yes,no,no,AI Instagram Carousel Generator: How to Create Carousels with AI,src/content/blog/articles/ai-instagram-carousel-generator.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-instagram-post-generator,https://gotoflow.io/blog/ai-instagram-post-generator,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-instagram-post-generator.md,yes,no,no,no,yes,ai-instagram-post-generator,,,,yes,no,no,The Best AI Instagram Post Generators to Scale Your Reach,src/content/blog/articles/ai-instagram-post-generator.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-linkedin-carousel-strategy-for-b2b-founders,https://gotoflow.io/blog/ai-linkedin-carousel-strategy-for-b2b-founders,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-linkedin-carousel-strategy-for-b2b-founders.md,yes,no,no,no,yes,ai-linkedin-carousel-strategy-for-b2b-founders,,,,yes,no,no,AI LinkedIn Carousel Strategy for B2B Founders,src/content/blog/articles/ai-linkedin-carousel-strategy-for-b2b-founders.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-linkedin-post-generator,https://gotoflow.io/blog/ai-linkedin-post-generator,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-linkedin-post-generator.md,yes,no,no,no,yes,ai-linkedin-post-generator,,,,yes,no,no,Top AI LinkedIn Post Generators to Scale Your B2B Reach,src/content/blog/articles/ai-linkedin-post-generator.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/ai-social-media-manager,https://gotoflow.io/blog/ai-social-media-manager,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/ai-social-media-manager.md,yes,no,no,no,yes,ai-social-media-manager,,,,yes,no,no,The AI Social Media Manager: Will AI Replace Human Marketers?,src/content/blog/articles/ai-social-media-manager.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/article-slug,https://gotoflow.io/blog/article-slug,en,unknown,existing_blog_article,src/content/blog/articles/_template.md,no,no,no,no,yes,article-slug,,,,no,no,no,Article Title,src/content/blog/articles/_template.md,low,manual_review_required,,false,
/blog/b2b-case-study-linkedin-carousel,https://gotoflow.io/blog/b2b-case-study-linkedin-carousel,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/b2b-case-study-linkedin-carousel.md,yes,no,no,no,yes,b2b-case-study-linkedin-carousel,,,,yes,no,no,How to Turn a B2B Case Study into a LinkedIn Carousel,src/content/blog/articles/b2b-case-study-linkedin-carousel.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/b2b-social-media-post-ideas,https://gotoflow.io/blog/b2b-social-media-post-ideas,en,unknown,existing_blog_article,src/content/blog/articles/b2b-social-media-post-ideas.md,no,no,no,no,yes,b2b-social-media-post-ideas,,,,no,no,no,B2B Social Media Post Ideas: Frameworks That Actually Convert,src/content/blog/articles/b2b-social-media-post-ideas.md,low,manual_review_required,,false,
/blog/best-ai-carousel-generators,https://gotoflow.io/blog/best-ai-carousel-generators,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route ; src/content/blog/articles/best-ai-carousel-generators.md,yes,no,yes,no,yes,best-ai-carousel-generators,,,,yes,no,no,Best AI Carousel Generators in 2026,src/content/blog/articles/best-ai-carousel-generators.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/best-carousel-cta-examples,https://gotoflow.io/blog/best-carousel-cta-examples,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/best-carousel-cta-examples.md,yes,no,no,no,yes,best-carousel-cta-examples,,,,yes,no,no,Best Carousel CTA Examples for High Conversions,src/content/blog/articles/best-carousel-cta-examples.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/best-free-ai-post-generators,https://gotoflow.io/blog/best-free-ai-post-generators,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/best-free-ai-post-generators.md,yes,no,no,no,yes,best-free-ai-post-generators,,,,yes,no,no,Best Free AI Post Generators in 2026,src/content/blog/articles/best-free-ai-post-generators.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/best-instagram-carousel-examples,https://gotoflow.io/blog/best-instagram-carousel-examples,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/best-instagram-carousel-examples.md,yes,no,no,no,yes,best-instagram-carousel-examples,,,,yes,no,no,10 Best Instagram Carousel Examples to Inspire Your Next Post,src/content/blog/articles/best-instagram-carousel-examples.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/best-linkedin-carousel-examples,https://gotoflow.io/blog/best-linkedin-carousel-examples,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/best-linkedin-carousel-examples.md,yes,no,no,no,yes,best-linkedin-carousel-examples,,,,yes,no,no,Best LinkedIn Carousel Examples to Inspire Your Next Post,src/content/blog/articles/best-linkedin-carousel-examples.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/best-time-to-post-on-instagram,https://gotoflow.io/blog/best-time-to-post-on-instagram,en,unknown,existing_blog_article,src/content/blog/articles/best-time-to-post-on-instagram.md,no,no,no,no,yes,best-time-to-post-on-instagram,,,,no,no,no,The Best Time to Post on Instagram in 2026: Data vs. Reality,src/content/blog/articles/best-time-to-post-on-instagram.md,low,manual_review_required,,false,
/blog/carousel-post-mistakes,https://gotoflow.io/blog/carousel-post-mistakes,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/carousel-post-mistakes.md,yes,no,no,no,yes,carousel-post-mistakes,,,,yes,no,no,Carousel Post Mistakes: Why People Stop Swiping and How to Fix It,src/content/blog/articles/carousel-post-mistakes.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/chatgpt-for-social-media-marketing,https://gotoflow.io/blog/chatgpt-for-social-media-marketing,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/chatgpt-for-social-media-marketing.md,yes,no,no,no,yes,chatgpt-for-social-media-marketing,,,,yes,no,no,ChatGPT for Social Media Marketing: 10 Advanced Use Cases,src/content/blog/articles/chatgpt-for-social-media-marketing.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/content-calendar-to-carousel,https://gotoflow.io/blog/content-calendar-to-carousel,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/content-calendar-to-carousel.md,yes,no,no,no,yes,content-calendar-to-carousel,,,,yes,no,no,How to Turn Your Content Calendar into a Month of Carousels,src/content/blog/articles/content-calendar-to-carousel.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/facebook-post-ideas-for-small-business,https://gotoflow.io/blog/facebook-post-ideas-for-small-business,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/facebook-post-ideas-for-small-business.md,yes,no,no,no,yes,facebook-post-ideas-for-small-business,,,,yes,no,no,Facebook Post Ideas for Small Business,src/content/blog/articles/facebook-post-ideas-for-small-business.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/guide-to-ai-social-media-post-generators,https://gotoflow.io/blog/guide-to-ai-social-media-post-generators,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/guide-to-ai-social-media-post-generators.md,yes,no,no,no,yes,guide-to-ai-social-media-post-generators,,,,yes,no,no,Guide to Choosing an AI Social Media Post Generator,src/content/blog/articles/guide-to-ai-social-media-post-generators.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-brainstorm-carousel-topics-with-ai,https://gotoflow.io/blog/how-to-brainstorm-carousel-topics-with-ai,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-brainstorm-carousel-topics-with-ai.md,yes,no,no,no,yes,how-to-brainstorm-carousel-topics-with-ai,,,,yes,no,no,How to Brainstorm Carousel Topics with AI,src/content/blog/articles/how-to-brainstorm-carousel-topics-with-ai.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-build-a-personal-brand-on-linkedin-with-ai,https://gotoflow.io/blog/how-to-build-a-personal-brand-on-linkedin-with-ai,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-build-a-personal-brand-on-linkedin-with-ai.md,yes,no,no,no,yes,how-to-build-a-personal-brand-on-linkedin-with-ai,,,,yes,no,no,How to Build a Personal Brand on LinkedIn using AI,src/content/blog/articles/how-to-build-a-personal-brand-on-linkedin-with-ai.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-increase-instagram-engagement-with-carousels,https://gotoflow.io/blog/how-to-increase-instagram-engagement-with-carousels,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-increase-instagram-engagement-with-carousels.md,yes,no,no,no,yes,how-to-increase-instagram-engagement-with-carousels,,,,yes,no,no,How to Increase Instagram Engagement with Carousels in 2026,src/content/blog/articles/how-to-increase-instagram-engagement-with-carousels.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-make-an-instagram-carousel-with-ai,https://gotoflow.io/blog/how-to-make-an-instagram-carousel-with-ai,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-make-an-instagram-carousel-with-ai.md,yes,no,no,no,yes,how-to-make-an-instagram-carousel-with-ai,,,,yes,no,no,How to Make an Instagram Carousel with AI,src/content/blog/articles/how-to-make-an-instagram-carousel-with-ai.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-make-linkedin-carousel-with-ai,https://gotoflow.io/blog/how-to-make-linkedin-carousel-with-ai,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/App.jsx exact route ; src/content/blog/articles/how-to-make-linkedin-carousel-with-ai.md,yes,no,yes,no,yes,how-to-make-linkedin-carousel-with-ai,,,,yes,no,no,How to Make a LinkedIn Carousel with AI: Step-by-Step Guide,src/content/blog/articles/how-to-make-linkedin-carousel-with-ai.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-post-a-carousel-on-linkedin,https://gotoflow.io/blog/how-to-post-a-carousel-on-linkedin,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-post-a-carousel-on-linkedin.md,yes,no,no,no,yes,how-to-post-a-carousel-on-linkedin,,,,yes,no,no,How to Post a Carousel on LinkedIn: The Ultimate PDF Guide,src/content/blog/articles/how-to-post-a-carousel-on-linkedin.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-repurpose-podcasts-into-ai-carousels,https://gotoflow.io/blog/how-to-repurpose-podcasts-into-ai-carousels,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-repurpose-podcasts-into-ai-carousels.md,yes,no,no,no,yes,how-to-repurpose-podcasts-into-ai-carousels,,,,yes,no,no,How to Repurpose Podcasts and Webinars into AI Carousels,src/content/blog/articles/how-to-repurpose-podcasts-into-ai-carousels.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-scale-your-smm-agency-with-ai,https://gotoflow.io/blog/how-to-scale-your-smm-agency-with-ai,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-scale-your-smm-agency-with-ai.md,yes,no,no,no,yes,how-to-scale-your-smm-agency-with-ai,,,,yes,no,no,How to Scale Your Social Media Agency with AI Content Tools,src/content/blog/articles/how-to-scale-your-smm-agency-with-ai.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-schedule-linkedin-carousel,https://gotoflow.io/blog/how-to-schedule-linkedin-carousel,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-schedule-linkedin-carousel.md,yes,no,no,no,yes,how-to-schedule-linkedin-carousel,,,,yes,no,no,How to Schedule a LinkedIn Carousel Post,src/content/blog/articles/how-to-schedule-linkedin-carousel.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-write-a-b2b-linkedin-post,https://gotoflow.io/blog/how-to-write-a-b2b-linkedin-post,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/how-to-write-a-b2b-linkedin-post.md,yes,no,no,no,yes,how-to-write-a-b2b-linkedin-post,,,,yes,no,no,How to Write a B2B LinkedIn Post That Converts,src/content/blog/articles/how-to-write-a-b2b-linkedin-post.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/how-to-write-carousel-copy-with-ai,https://gotoflow.io/blog/how-to-write-carousel-copy-with-ai,en,unknown,existing_blog_article,src/content/blog/articles/how-to-write-carousel-copy-with-ai.md,no,no,no,no,yes,how-to-write-carousel-copy-with-ai,,,,no,no,no,"How to Write Carousel Copy with AI: Hooks, Slide Flow, and CTA Examples | GoToFlow",src/content/blog/articles/how-to-write-carousel-copy-with-ai.md,low,manual_review_required,,false,
/blog/instagram-carousel-cover-ideas,https://gotoflow.io/blog/instagram-carousel-cover-ideas,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-cover-ideas.md,yes,no,no,no,yes,instagram-carousel-cover-ideas,,,,yes,no,no,15 Instagram Carousel Cover Ideas That Stop the Scroll,src/content/blog/articles/instagram-carousel-cover-ideas.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-hooks,https://gotoflow.io/blog/instagram-carousel-hooks,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-hooks.md,yes,no,no,no,yes,instagram-carousel-hooks,,,,yes,no,no,15 Instagram Carousel Hooks Designed to Stop the Scroll,src/content/blog/articles/instagram-carousel-hooks.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-ideas,https://gotoflow.io/blog/instagram-carousel-ideas,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-ideas.md,yes,no,no,no,yes,instagram-carousel-ideas,,,,yes,no,no,Instagram Carousel Ideas for Creators and Brands,src/content/blog/articles/instagram-carousel-ideas.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-post,https://gotoflow.io/blog/instagram-carousel-post,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-post.md,yes,no,no,no,yes,instagram-carousel-post,,,,yes,no,no,The Anatomy of a High-Converting Instagram Carousel Post,src/content/blog/articles/instagram-carousel-post.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-prompts,https://gotoflow.io/blog/instagram-carousel-prompts,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-prompts.md,yes,no,no,no,yes,instagram-carousel-prompts,,,,yes,no,no,Instagram Carousel Prompts for Creators and Small Businesses,src/content/blog/articles/instagram-carousel-prompts.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-storytelling,https://gotoflow.io/blog/instagram-carousel-storytelling,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-storytelling.md,yes,no,no,no,yes,instagram-carousel-storytelling,,,,yes,no,no,Instagram Carousel Storytelling: How to Keep Readers Swiping,src/content/blog/articles/instagram-carousel-storytelling.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-carousel-templates,https://gotoflow.io/blog/instagram-carousel-templates,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-carousel-templates.md,yes,no,no,no,yes,instagram-carousel-templates,,,,yes,no,no,"Instagram Carousel Templates: Structure, Examples and How to Create",src/content/blog/articles/instagram-carousel-templates.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/instagram-post-size-guide,https://gotoflow.io/blog/instagram-post-size-guide,en,existing_indexable_blog,existing_sitemap_blog,dist/sitemap.xml ; seo-sitemap-audit CSV ; src/content/blog/articles/instagram-post-size-guide.md,yes,no,no,no,yes,instagram-post-size-guide,,,,yes,no,no,Instagram Post Size Guide: Dimensions and Aspect Ratios,src/content/blog/articles/instagram-post-size-guide.md,medium,keep_as_blog_support,Existing blog article is supporting content and does not automatically justify a commercial registry URL.,false,Present in sitemap but absent from RU inventory CSV.
/blog/linkedin-carousel-ads,https://gotoflow.io/blog/linkedin-carousel-ads,en,unknown,existing_blog_article,src/content/blog/articles/linkedin-carousel-ads.md,no,no,no,no,yes,linkedin-carousel-ads,,,,no,no,no,LinkedIn Carousel Ads: The Ultimate Guide to B2B Conversions,src/content/blog/articles/linkedin-carousel-ads.md,low,manual_review_required,,false,
